met_id,adduct_name,nC,mz,total_I,sigma
1agpe161_c,M-H,21,471.3330644602994,10136.48029026747,0.1
1agpg161_c,M-H,22,503.3309995644894,10400.022551897076,0.1
2mecdp_c,M-H,5,282.0051529577194,39109.85103461633,0.1
2pg_c,M-H,3,187.9957272526494,13418.947422695112,0.1
3c3hmp_c,M-H,7,182.0846808950794,38298.78288151487,0.1
4abut_c,M-H,4,106.0694714315894,17581.316396503902,0.1
4h2opntn_c,M-H,5,136.0517564716394,19667.750954120234,0.1
56dura_c,M-H,4,117.0490703401794,36143.5239863898,0.1
acac_c,M-H,4,105.0378369501394,40218.475212097015,0.1
acglu_c,M-H,7,195.0799298678094,6015.9453443487355,0.1
acorn_c,M-H,7,180.1166497296994,6335.998297745802,0.1
alaala_c,M-H,6,165.0976448277594,14987.196149455614,0.1
asp__L_c,M-H,4,136.0436506065694,13422.854035680437,0.1
bglycogen_c,M-H,6,167.0656759931395,44918.47944906307,0.1
cbasp_c,M-H,5,180.0528191007994,17932.20703239799,0.1
citr__L_c,M-H,6,180.1085438646294,3963.695881425405,0.1
dhor__S_c,M-H,5,162.0422544170995,100916.45432707122,0.1
dtdp_c,M-H,10,411.0492045237194,7340.07399801659,0.1
dtdprmn_c,M-H,16,563.1272423494594,66470.46154529553,0.1
dxyl_c,M-H,5,138.0674065357794,76199.1296718479,0.1
fum_c,M-H,4,119.0171015055594,8135.5367081154545,0.1
gal_c,M-H,6,185.0762406768394,134967.43369462484,0.1
glcn_c,M-H,6,201.0711552963994,32059.225302347546,0.1
gln__L_c,M-H,5,150.0786399258195,22663.86338981341,0.1
glu5sa_c,M-H,5,135.0677408889495,13001.328288332452,0.1
glu__L_c,M-H,5,151.0626555085094,88209.71442313494,0.1
hxan_c,M-H,5,140.0480085038794,40456.894050371164,0.1
kdo_c,M-H,8,245.0884296556994,22626.27285596954,0.1
lac__L_c,M-H,3,92.03448211233945,144627.18422002773,0.1
leu__L_c,M-H,6,136.1074812354694,19113.550667412397,0.1
mal__L_c,M-H,4,137.0276661892594,15816.800565793763,0.1
met__L_c,M-H,5,153.0605473335294,5884.864454900541,0.1
mnl1p_c,M-H,6,267.0582212617294,7045.506683690387,0.1
msa_c,M-H,3,90.1883204819943,17101.01535672685,0.1
mthgxl_c,M-H,3,74.02391742863944,63326.017155521666,0.1
op4en_c,M-H,5,118.0411917879394,52834.72517364821,0.1
orot_c,M-H,5,160.0266043529595,54815.216400413854,0.1
pant__R_c,M-H,6,153.0864114377194,37961.07525231983,0.1
phe__L_c,M-H,9,173.1018956847294,11361.5137546227,0.1
pro__L_c,M-H,5,119.0728262693894,7727.322925823781,0.1
pyr_c,M-H,3,90.1883204819943,12097.71777603517,0.1
rhcys_c,M-H,9,275.1005753553894,5179.974238253457,0.1
sarcs_c,M-H,3,91.05046652964944,17711.930209492377,0.1
thr__L_c,M-H,4,122.0643860511494,34924.83292248798,0.1
tyr__L_c,M-H,9,189.0968103042894,10118.64210720181,0.1
udpg_c,M-H,15,580.0980666866393,60896.57699497286,0.1
udpglcur_c,M-H,15,594.0773312420594,29579.356354642703,0.1
ura_c,M-H,4,115.0334202760394,18808.207022726343,0.1
val__L_c,M-H,5,121.0884763335294,28609.857202294428,0.1
xan_c,M-H,5,156.0429231234394,22570.2221428664,0.1
xyl__D_c,M-H,5,154.0623211553394,13771.470995127098,0.1
